,data_type,garnet_formula
217,mixed,SmMg2Sn2Ga3O12
218,mixed,SmMg2Sn2Ga3O12
219,mixed,SmMg2Sn2Ga3O12
220,mixed,TmBa2Zr2Al3O12
221,mixed,TmBa2Zr2Al3O12
222,mixed,TmBa2Zr2Al3O12
223,mixed,TmBa2Zr2Al3O12
224,mixed,TmBa2Zr2Al3O12
225,mixed,TmBa2Zr2Al3O12
226,mixed,TmBa2Zr2Al3O12
227,mixed,TmBa2Zr2Al3O12
228,mixed,TmBa2Zr2Al3O12
229,mixed,TmBa2Zr2Al3O12
230,mixed,TmBa2Zr2Al3O12
231,mixed,TmBa2Zr2Al3O12
232,mixed,TmBa2Zr2Al3O12
233,mixed,TmBa2Zr2Al3O12
234,mixed,TmBa2Zr2Al3O12
235,mixed,TmBa2Zr2Al3O12
236,mixed,TmBa2Zr2Al3O12
237,mixed,TmBa2Zr2Al3O12
238,mixed,TmBa2Zr2Al3O12
239,mixed,TmBa2Zr2Al3O12
240,mixed,LuBi2Ga2Ga3O12
241,mixed,LuBi2Ga2Ga3O12
242,mixed,LuBi2Ga2Ga3O12
243,mixed,LuBi2Ga2Ga3O12
244,mixed,LuBi2Ga2Ga3O12
245,mixed,LuBi2Ga2Ga3O12
246,mixed,LuBi2Ga2Ga3O12
247,mixed,LuBi2Ga2Ga3O12
248,mixed,LuBi2Ga2Ga3O12
249,mixed,LuBi2Ga2Ga3O12
250,mixed,LuBi2Ga2Ga3O12
251,mixed,LuBi2Ga2Ga3O12
252,mixed,LuBi2Ga2Ga3O12
253,mixed,LuBi2Ga2Ga3O12
254,mixed,LuBi2Ga2Ga3O12
255,mixed,LuBi2Ga2Ga3O12
256,mixed,LuBi2Ga2Ga3O12
257,mixed,LuBi2Ga2Ga3O12
258,mixed,LuBi2Ga2Ga3O12
259,mixed,LuBi2Ga2Ga3O12
260,mixed,TmZr2Mg2Ga3O12
261,mixed,TmZr2Mg2Ga3O12
262,mixed,TmZr2Mg2Ga3O12
263,mixed,TmZr2Mg2Ga3O12
264,mixed,TmZr2Mg2Ga3O12
265,mixed,TmZr2Mg2Ga3O12
266,mixed,TmZr2Mg2Ga3O12
267,mixed,TmZr2Mg2Ga3O12
268,mixed,TmZr2Mg2Ga3O12
269,mixed,TmZr2Mg2Ga3O12
270,mixed,TmZr2Mg2Ga3O12
271,mixed,TmZr2Mg2Ga3O12
272,mixed,TmZr2Mg2Ga3O12
273,mixed,TmZr2Mg2Ga3O12
274,mixed,TmZr2Mg2Ga3O12
275,mixed,TmZr2Mg2Ga3O12
276,mixed,TmZr2Mg2Ga3O12
277,mixed,TmZr2Mg2Ga3O12
278,mixed,TmZr2Mg2Ga3O12
279,mixed,TmZr2Mg2Ga3O12
280,mixed,CaMg2Ga2Si3O12
281,mixed,CaMg2Ga2Si3O12
282,mixed,CaMg2Ga2Si3O12
283,mixed,CaMg2Ga2Si3O12
284,mixed,CaMg2Ga2Si3O12
285,mixed,CaMg2Ga2Si3O12
286,mixed,CaMg2Ga2Si3O12
287,mixed,CaMg2Ga2Si3O12
288,mixed,CaMg2Ga2Si3O12
289,mixed,CaMg2Ga2Si3O12
290,mixed,CaMg2Ga2Si3O12
291,mixed,CaMg2Ga2Si3O12
292,mixed,CaMg2Ga2Si3O12
293,mixed,CaMg2Ga2Si3O12
294,mixed,CaMg2Ga2Si3O12
